rsrp_mean_dbm,c7_speed_hint,noncolocated_neighbor_count,sinr_degradation_db,dist_max_m,rb_min,rsrp_10th_percentile,noncolocated_strong_neighbor_gnodeb_count_mean,noncolocated_strong_neighbor_gnodeb_count_max,handover_tp_delta_mean,handover_count,ping_pong_handover_count,frequent_handover_flag,handover_rsrp_delta_mean,avg_throughput_change_after_handover,rb_tp_correlation,overshoot_flag,handover_improves_tp_flag,rsrp_advantage_of_best_neighbor,rsrp_min_dbm,speed_above_40_flag,speed_mean_kmh,throughput_improved_by_handover,high_interference_power_ratio_flag,throughput_variance_across_cells,ping_pong_detected,fast_low_tp_ratio,high_rb_low_tp_ratio_v2,dist_p95_m,serving_total_tilt_deg,tp_drop_with_high_rb_ratio,abnormal_path_loss,serving_electronic_tilt_deg,speed_max_kmh,tp_samples_below_600,strong_neighbor_noncolocated_share,tilt_to_beamwidth_ratio,rb_mean,answer,id
-79.355,False,2,8.586999999999996,2774.4210461444545,195.26,-85.5,0.2,1,-121.14000000000004,2,0,False,-1.4849999999999994,-121.14000000000004,0.15054329992899423,True,False,-10.236111111111114,-88.21,False,17.4,False,True,926.5375,False,0.0,0.4,2772.742545267436,14.0,1.0,True,4.0,33.0,4,0.75,2.3333333333333335,207.317,C2,ID_1P7PJMPV0R
-83.542,False,3,5.240999999999998,68.57663842983007,198.41,-86.82,0.0,0,-101.69999999999999,1,0,False,1.1600000000000108,-101.69999999999999,-0.5946792253653382,False,False,-10.341333333333338,-87.98,False,18.5,False,False,140.09333333333336,False,0.0,0.4,68.22184398299747,11.0,1.0,True,9.0,33.0,4,0.0,1.8333333333333333,208.43,C1,ID_8B1D1TUTFA
-86.614,False,2,-7.854000000000006,1698.4077562604034,186.76,-89.17,0.0,0,-14.835000000000036,2,0,False,1.0050000000000026,-14.835000000000036,0.22853531301156185,True,False,-21.68742857142857,-89.4,False,18.9,False,False,594.1908333333333,False,0.0,0.4,1698.4077562604034,14.0,1.0,True,9.0,36.0,4,0.0,2.3333333333333335,204.14499999999998,C2,ID_IGGXMA9GZH
-84.998,False,2,4.303999999999995,2976.7012463025812,200.28,-87.37,0.0,0,25.129999999999995,2,0,False,1.0549999999999997,25.129999999999995,-0.24150233438746557,True,False,-14.411999999999992,-89.4,False,15.8,False,False,792.3324999999999,False,0.0,0.4,2974.6119930964574,27.0,1.0,True,13.0,32.0,4,0.0,4.5,207.86,C2,ID_D6C9N2X295
-78.516,False,3,11.475999999999994,263.1148653765891,178.59,-84.55,0.0,0,30.863333333333326,3,2,True,2.1400000000000006,30.863333333333326,0.0026367710008472216,False,False,-6.069999999999993,-85.45,False,21.4,False,True,108.37199999999996,True,0.0,0.4444444444444444,197.18828601825078,26.0,1.0,True,6.0,32.0,4,0.0,1.04,195.452,C5,ID_8JC15PNP3Q
-82.035,False,7,9.745000000000003,319.73593601529285,97.225,-85.51,0.0,0,-95.57,1,0,False,-5.239999999999995,-95.57,0.9851678789867948,False,False,-3.9350000000000023,-88.85,False,19.9,False,True,6.594000000000051,False,0.0,0.0,319.1873036309369,21.0,0.0,True,11.0,34.0,4,0.0,3.5,161.97,C8,ID_JH01F8GPC2
-84.925,False,3,4.136000000000003,212.06788733008293,196.42,-86.59,0.4,1,41.370000000000005,1,0,False,-0.6200000000000045,41.370000000000005,-0.0006216246397786838,False,False,-13.75,-88.1,False,22.0,False,True,25.586000000000013,False,0.0,0.4,151.84965662410897,8.0,1.0,True,8.0,36.0,4,1.0,1.3333333333333333,203.831,C4,ID_4T5Z9ZTC6P
-78.654,False,4,10.297000000000004,3020.284327156261,195.99,-82.85,0.4,1,68.91000000000003,2,0,False,-0.5300000000000082,68.91000000000003,0.2478604451350995,True,False,-6.126000000000005,-89.92,False,20.2,True,True,775.54,False,0.0,0.4,3017.506940335109,21.0,1.0,True,9.0,37.0,4,0.625,1.75,207.088,C2,ID_YN7969NO6H
-83.011,False,2,-0.36699999999999733,196.0925843792581,93.52,-87.41,0.0,0,-168.86,1,0,False,-4.3799999999999955,-168.86,0.9472388072193516,False,False,-5.463999999999999,-88.77,False,13.8,False,False,397.50666666666666,False,0.0,0.0,192.0880002893825,23.0,0.0,True,9.0,39.0,4,0.0,1.9166666666666667,164.719,C8,ID_1W0Z7Z03FA
-85.281,False,1,7.098999999999994,40.954207674890576,103.91,-87.25,0.1,1,50.039999999999964,1,0,False,0.7199999999999989,50.039999999999964,0.9720308255751995,False,False,-1.1523333333333312,-87.63,False,19.9,True,True,224.40714285714296,False,0.0,0.0,36.27920478889566,13.0,0.0,True,9.0,37.0,4,0.09090909090909091,2.1666666666666665,166.4215,C8,ID_6IEENAY3DS
-87.889,False,2,-10.287999999999997,207.2647095230985,182.99,-91.8,0.0,0,-6.909999999999968,1,0,False,3.3599999999999994,-6.909999999999968,-0.0556946861830795,False,False,-17.417666666666676,-92.69,False,18.2,False,False,52.7116666666667,False,0.0,0.4,207.2647095230985,14.0,1.0,True,9.0,36.0,4,0.0,2.3333333333333335,198.663,C1,ID_KYV7TLA3TL
-84.764,False,6,5.043000000000005,326.5373403654294,104.9,-86.55,0.0,0,65.31,1,0,False,-2.839999999999989,65.31,0.9533530597514326,False,False,-7.923500000000004,-89.35,False,17.9,True,False,160.4425,False,0.0,0.0,326.5373403654294,21.0,0.0,True,11.0,34.0,4,0.0,3.5,168.414,C8,ID_KUQ56NHKRC
-86.477,False,1,0.5449999999999964,105.20149889695779,185.2,-87.78,0.0,0,238.05,1,0,False,-0.030000000000001137,238.05,0.10875523556735926,False,True,-9.315499999999986,-88.75,False,19.4,True,False,27.88916666666671,False,0.0,0.4,105.20149889695779,13.0,1.0,True,12.0,33.0,4,0.0,2.1666666666666665,196.647,C3,ID_2KSUJ32FOL
-79.69800000000001,False,6,6.935999999999993,165.88177067714224,198.61,-83.72,0.0,0,-21.953333333333337,3,2,True,-2.0700000000000025,-21.953333333333337,0.5188283935362219,False,False,-10.99199999999999,-86.09,False,16.0,False,False,282.6947619047619,True,0.0,0.4,165.66695837726974,11.0,1.0,True,10.0,38.0,4,0.0,1.8333333333333333,209.474,C5,ID_EAD732W3XX
